Log Type,Time Stamp,T1,T2,T1 Ambient,T2 Ambient
Seconds x2
,1559942058.2015326,21.667219239372393,21.863581867456947,31.255625000000002,31.096250000000005
,1559942058.7023046,21.582592804352974,21.88443099297598,31.24263400625,31.1112415375
,1559942059.2031343,21.60407098982067,21.865828410853254,31.21341295435056,31.092243265478373
,1559942059.7039702,21.60744248140565,21.8717859893356,31.22333321541447,31.083538725832323
,1559942060.2046416,21.621912820738192,21.888567001763814,31.224191030370086,31.06519753221673
,1559942060.705325,21.63051256195228,21.864971808358074,31.21479068652323,31.05840536579866
,1559942061.2060828,21.603685671497786,21.874004034336597,31.202427377485094,31.032794034450454
,1559942061.7068229,21.6196977020309,21.869427599685988,31.212183217131166,31.02607017440265
,1559942062.207571,21.616678262024227,21.887247665961954,31.221419567883782,31.021474802283016
,1559942062.7083247,21.426239657653408,21.907226824123015,31.234636040639696,31.030186906000097
,1559942063.2091439,21.47013463096334,21.89020553847388,31.226139610637336,31.034149441123997
,1559942063.7100072,21.541335601927905,21.887772507187353,31.234723178685236,31.00941490348932
,1559942064.210993,21.556576172830848,21.889436384596724,31.23232231478184,31.010285031361413
,1559942064.7117448,21.556825218715733,21.887207026104676,31.224880253655535,31.0111919581686
,1559942065.2125015,21.567135726495497,21.863222591625142,31.22144766598106,30.991364989378972
,1559942065.7132556,21.598286203022592,21.853627598824257,31.211646382285153,30.970831112578388
,1559942066.2140067,21.57908957267612,21.847800327174493,31.215477572275564,30.98036918866641
,1559942066.71476,21.605299114833077,21.85411701240547,31.209764226652993,30.97243257721563
,1559942067.215507,21.620615690485877,21.85644415096658,31.220953053196325,30.978433587520062
,1559942067.7163095,21.629725793266022,21.871140093890556,31.2159105683819,30.96729587409472
,1559942068.2170718,21.64724818651275,21.84737589807819,31.24618303152382,30.98575104069419
,1559942068.717814,21.6006100360775,21.849188557923917,31.243189868284496,30.992717382019514
,1559942069.2186482,21.617845869794653,21.865832782965025,31.241878060323312,30.9860809369087
,1559942069.7194061,21.628078164292447,21.86489058366438,31.23029720084032,30.98929468243522
,1559942070.2210581,21.634009262227963,21.861913450547544,31.237633819124206,30.97820924203117
,1559942070.721716,21.307467527995364,21.83629020607642,31.25282851885465,30.97115715032699
,1559942071.2224526,21.216944587806065,21.859009741487576,31.24194458709848,31.001637335696586
,1559942071.7232368,21.394817737948006,21.85965897987664,31.219648984235782,31.000234955355477
,1559942072.2239857,21.488297478402973,21.858997526251922,31.219439278701383,30.995582488787857
,1559942072.724742,21.52672517097718,21.857323054707454,31.232579199680384,30.987210253804342
,1559942073.2254844,21.574492595113178,21.880198416902175,31.230094441619276,30.988516532768934
,1559942073.7262273,21.602455723270896,21.87342990378712,31.237790341831765,30.983600377434726
,1559942074.226964,21.619026663363723,21.889678899834898,31.225734068948242,30.985590561871437
,1559942074.7276945,21.59339472706596,21.89070297497233,31.222102460373243,30.97607824587946
,1559942075.2284286,21.61360570715089,21.87718901586508,31.228464281825797,30.96910631840936
,1559942075.7290869,21.59160772630249,21.8421042307959,31.218394623775318,30.97352758995754
,1559942076.2299109,21.328936161700625,21.838599443932203,31.234476091393088,30.98026768159403
,1559942076.7305872,21.21617392611591,21.831207876120416,31.24875828720671,31.01255388830445
,1559942077.231295,21.162014174560092,21.826991012694943,31.247179906012683,31.010096070504893
,1559942077.732106,20.638160027897694,21.837174050257563,31.254466012701425,31.005842878672432
,1559942078.2328684,20.50228583903594,21.81239230428355,31.225455885840063,31.03636328642728
,1559942078.7337284,20.916130795326172,21.854734826627034,31.243906321029705,31.058316532002447
,1559942079.2343912,21.21221606733687,21.889129228222707,31.23723861850483,31.06116095398213
,1559942079.7353358,21.313975322359,21.87529409351114,31.25269640684092,31.072227431716907
,1559942080.2360349,21.450541419670785,21.881985272465894,31.258724701275487,31.060042701154522
,1559942080.7367668,21.529966653506964,21.89443752012942,31.245533098856157,31.070667739604733
,1559942081.2375216,21.576204538514844,21.901811457823065,31.263400464543572,31.0718792185592
,1559942081.7382548,21.60349629979609,21.894442092401377,31.252731590308333,31.058875209767024
,1559942082.2389858,21.619631516337552,21.914995160438682,31.23563735176117,31.05410959761533
,1559942082.7397175,21.62906356196972,21.914011379734344,31.235893999841448,31.052257426295874
,1559942083.240471,21.63462520308835,21.923913633377445,31.236152422966377,31.06713936265345
,1559942083.7434165,21.62671443319103,21.91922229156005,31.23967376923742,31.068350747253238
,1559942084.2442994,21.608227662045323,21.92801746152906,31.239346213997,31.097292932745567
,1559942093.515133,21.522574848845707,21.899153656117335,31.23756592090309,31.099476128856928
,1559942094.0158725,21.572032126085748,21.90451025888541,31.23703280063407,31.100765284328723
,1559942094.5166032,21.573661237387295,21.907607056256378,31.24234299844641,31.110689642743267
,1559942095.017342,21.536174948400863,21.92003725635987,31.23057174215262,31.116549877143473
,1559942095.5180736,21.463786691937333,21.90737008281244,31.2441528080237,31.099585286954447
,1559942096.0187807,21.517165063813017,21.90928317032074,31.231134166609912,31.111686616093742
,1559942096.5195172,21.529714389666108,21.910380955458894,31.233797414041486,31.123388579937192
,1559942097.0202544,21.54671856254803,21.931390515066354,31.234688785017358,31.12752409756711
,1559942097.5209737,21.572277718668346,21.923592570633275,31.234708880664897,31.111246704372398
,1559942098.021694,21.59219540416859,21.928480268206467,31.22100137194381,31.105566316464852
,1559942098.5224314,21.603896455153567,21.934848661174147,31.216900975119096,31.10942397920933
,1559942099.0231812,21.576075065073177,21.925446410116603,31.212179731798074,31.12830251548332
,1559942099.5240772,21.56557835268094,21.92862630727151,31.210246884829445,31.115075102367747
,1559942100.0249321,21.535491935775404,21.921922606938903,31.20441930802294,31.109014447197136
,1559942100.5256498,21.570567807993566,21.9202360592068,31.203740682194468,31.099691940925435
,1559942101.0263798,21.55252949523138,21.916925504919018,31.207777460429014,31.105392719197066
,1559942101.5270946,21.552070710395107,21.901953432534405,31.188161137608734,31.09585959675868
,1559942102.0278084,21.532396642324773,21.9157889573502,31.178727270146577,31.08743038329003
,1559942102.5285385,21.554908496329446,21.9013362545577,31.173662915748857,31.07722114202893
,1559942103.0292535,21.545534067265777,21.905868541607838,31.154696840120543,31.07744268715667
,1559942103.5300488,21.510238408999253,21.90870060999646,31.13899756212278,31.054892257339144
,1559942104.030776,21.519133301911943,21.887683998039197,31.137259170457877,31.03962520403619
,1559942104.5314918,21.512990824196027,21.89793435251424,31.137301417563673,31.03864203673133
,1559942105.0322444,21.509403972912203,21.903980940201162,31.13153198905718,31.037555236269476
,1559942105.5330453,21.507305887821975,21.895657676092718,31.125318949218375,31.04827661646476
,1559942106.0341446,21.470471306569657,21.893935206103194,31.123663961323956,31.055744359256277
,1559942106.5347729,21.470187484943963,21.892021227617853,31.121555457522174,31.05129898669724
,1559942107.0354855,21.462319608746117,21.889774988423515,31.128760407112274,31.05588591365485
,1559942107.5363755,21.45380883290056,21.870105691198,31.134915482795726,31.038625073154048
,1559942108.0372534,21.43047127524178,21.885498363255945,31.14154249343605,31.04642209444674
,1559942108.538131,21.433773145365528,21.896673502141017,31.134768176949052,31.038780532549858
,1559942109.0390062,21.417370498399304,21.89138292816806,31.115861135806647,31.042413266665363
,1559942109.5398839,21.420203683840874,21.890566677284955,31.114434217082465,31.035850859833225
,1559942110.0407658,21.444313994459957,21.881474486966514,31.128261010845023,31.02813269922292
,1559942110.5416403,21.44687814894432,21.894414378088364,31.12130059429388,31.012055827564144
,1559942111.0426419,21.461162342628615,21.85882573080694,31.117753037924594,30.99170572061835
,1559942111.543654,21.45194664381003,21.872469644144182,31.115095741364097,30.985483560967936
,1559942112.044683,21.46407692904054,21.875844255768808,31.123707884318083,31.00048443791595
,1559942112.5457308,21.43403025851335,21.880408343597395,31.120136393610984,30.999661055744987
,1559942113.0466063,21.426658718532423,21.87198606828522,31.10462808906335,30.99338048180686
,1559942113.5474963,21.414152727233365,21.88886851768103,31.104483090311014,30.985740615702134
,1559942114.048373,21.41885394971684,21.898810188924788,31.08622184499775,30.981398726165953
,1559942114.549249,21.43213691223095,21.88293444951739,31.09237626225273,30.97456488381374
,1559942115.0501332,21.394286416860616,21.862883814606537,31.07210975909762,30.963942693243176
,1559942115.5510383,21.429309885979585,21.873895366984755,31.072730716649552,30.96948914593316
,1559942116.0519085,21.441758390678018,21.85757168338501,31.05375301087439,30.954695520782074
,1559942116.5527935,21.265110578687676,21.85897191483601,31.030553115391218,30.966435658066608
,1559942117.0536642,21.316991772521167,21.860704675326517,31.02141005910736,30.96476746673175
,1559942117.5545864,21.36076834172409,21.882130215297618,31.005779300802306,30.98329616643044
,1559942118.0555868,21.39664864170543,21.886179080346267,30.99812449433075,30.984511553315507
,1559942118.5565116,21.386029878668005,21.885336350671288,31.00085565765736,30.988367977117264
,1559942119.0574281,21.413192967664784,21.896646869013406,30.992074007290096,30.99465578180797
,1559942119.5583088,21.441685457499823,21.88283347554482,30.995319780564735,31.001906792599794
,1559942120.0592074,21.43925377154896,21.88195466658495,31.010955752225676,31.011307191962253
,1559942120.5601072,21.34968981632548,21.874357286804397,31.000219262131736,31.012864283781795
	
Log Type,Time Stamp,T1,T2,T1 Ambient,T2 Ambient
Minutes
	
Log Type,Time Stamp,T1,T2,T1 Ambient,T2 Ambient
Hours
	
Log Type,Time Stamp,T1,T2,T1 Ambient,T2 Ambient
Days
